,idx_test,idx_train,text_test,text_train,score
0,13,14,"Czarnoziemne, zapewne należne do dworu,","Do tych pagórków leśnych, do tych łąk zielonych,",0.4821089912784929
1,7,21,"I stodołę miał wielką, i przy niej trzy stogi","Zieloną, na niej z rzadka ciche grusze siedzą.",0.38409586926621725
2,4,8,"Tym bielsze, że odbite od ciemnej zieleni","(Gdy od płaczącej matki, pod Twoją opiekę",0.37796447300922725
3,10,4,"I widać z liczby kopic, co wzdłuż i wszerz smugów","    Panno święta, co Jasnej bronisz Częstochowy",0.3670060706619729
4,3,1,"Świeciły się z daleka pobielane ściany,","Ile cię trzeba cenić, ten tylko się dowie,",0.3585565671559754
5,16,12,"Brama na wciąż otwarta przechodniom ogłasza,",Tak nas powrócisz cudem na Ojczyzny łono.,0.3445354966980509
6,1,12,"Na pagórku niewielkim, we brzozowym gaju,",Tak nas powrócisz cudem na Ojczyzny łono.,0.3445354966980509
7,10,5,"I widać z liczby kopic, co wzdłuż i wszerz smugów","I w Ostrej świecisz Bramie! Ty, co gród zamkowy",0.3445354966980509
8,14,12,Uprawne dobrze na kształt ogrodowych grządek:,Tak nas powrócisz cudem na Ojczyzny łono.,0.3445354966980509
9,1,21,"Na pagórku niewielkim, we brzozowym gaju,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.3388542153725904
10,14,21,Uprawne dobrze na kształt ogrodowych grządek:,"Zieloną, na niej z rzadka ciche grusze siedzą.",0.3388542153725904
11,16,21,"Brama na wciąż otwarta przechodniom ogłasza,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.3388542153725904
12,11,7,"Świecą gęsto jak gwiazdy, widać z liczby pługów",Jak mnie dziecko do zdrowia powróciłaś cudem,0.3272840165719979
13,13,16,"Czarnoziemne, zapewne należne do dworu,","Do tych pól malowanych zbożem rozmaitem,",0.31824655044622774
14,0,15,"    Śród takich pól przed laty, nad brzegiem ruczaju,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.316227766016838
15,11,0,"Świecą gęsto jak gwiazdy, widać z liczby pługów",    Litwo! Ojczyzno moja! ty jesteś jak zdrowie:,0.31529362944824746
16,11,18,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.31529362944824746
17,0,16,"    Śród takich pól przed laty, nad brzegiem ruczaju,","Do tych pól malowanych zbożem rozmaitem,",0.3066622598335775
18,13,7,"Czarnoziemne, zapewne należne do dworu,",Jak mnie dziecko do zdrowia powróciłaś cudem,0.3007194444771397
19,13,10,"Czarnoziemne, zapewne należne do dworu,","I zaraz mogłem pieszo, do Twych świątyń progu",0.2869787107320743
20,5,8,"Topoli, co go bronią od wiatrów jesieni.","(Gdy od płaczącej matki, pod Twoją opiekę",0.2834318028017485
21,5,4,"Topoli, co go bronią od wiatrów jesieni.","    Panno święta, co Jasnej bronisz Częstochowy",0.2427974399524477
22,5,5,"Topoli, co go bronią od wiatrów jesieni.","I w Ostrej świecisz Bramie! Ty, co gród zamkowy",0.22793175170140131
23,8,8,"Użątku, co pod strzechą zmieścić się nie może.","(Gdy od płaczącej matki, pod Twoją opiekę",0.22675740752045231
24,8,1,"Użątku, co pod strzechą zmieścić się nie może.","Ile cię trzeba cenić, ten tylko się dowie,",0.2151137565136632
25,8,4,"Użątku, co pod strzechą zmieścić się nie może.","    Panno święta, co Jasnej bronisz Częstochowy",0.19424820183192257
26,8,5,"Użątku, co pod strzechą zmieścić się nie może.","I w Ostrej świecisz Bramie! Ty, co gród zamkowy",0.1823550236652778
27,15,14,Że w tym domu dostatek mieszka i porządek.,"Do tych pagórków leśnych, do tych łąk zielonych,",0.0
28,14,14,Uprawne dobrze na kształt ogrodowych grządek:,"Do tych pagórków leśnych, do tych łąk zielonych,",0.0
29,16,14,"Brama na wciąż otwarta przechodniom ogłasza,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
30,12,14,"Orzących wcześnie łany ogromne ugoru,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
31,11,14,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
32,10,14,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
33,17,14,"Że gościnna, i wszystkich w gościnę zaprasza.","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
34,9,14,"Widać, że okolica obfita we zboże,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
35,8,14,"Użątku, co pod strzechą zmieścić się nie może.","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
36,7,14,"I stodołę miał wielką, i przy niej trzy stogi","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
37,1,15,"Na pagórku niewielkim, we brzozowym gaju,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
38,0,0,"    Śród takich pól przed laty, nad brzegiem ruczaju,",    Litwo! Ojczyzno moja! ty jesteś jak zdrowie:,0.0
39,2,15,"Stał dwór szlachecki, z drzewa, lecz podmurowany;",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
40,3,15,"Świeciły się z daleka pobielane ściany,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
41,5,16,"Topoli, co go bronią od wiatrów jesieni.","Do tych pól malowanych zbożem rozmaitem,",0.0
42,4,16,"Tym bielsze, że odbite od ciemnej zieleni","Do tych pól malowanych zbożem rozmaitem,",0.0
43,3,16,"Świeciły się z daleka pobielane ściany,","Do tych pól malowanych zbożem rozmaitem,",0.0
44,2,16,"Stał dwór szlachecki, z drzewa, lecz podmurowany;","Do tych pól malowanych zbożem rozmaitem,",0.0
45,1,16,"Na pagórku niewielkim, we brzozowym gaju,","Do tych pól malowanych zbożem rozmaitem,",0.0
46,17,15,"Że gościnna, i wszystkich w gościnę zaprasza.",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
47,16,15,"Brama na wciąż otwarta przechodniom ogłasza,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
48,15,15,Że w tym domu dostatek mieszka i porządek.,Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
49,14,15,Uprawne dobrze na kształt ogrodowych grządek:,Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
50,13,15,"Czarnoziemne, zapewne należne do dworu,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
51,12,15,"Orzących wcześnie łany ogromne ugoru,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
52,11,15,"Świecą gęsto jak gwiazdy, widać z liczby pługów",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
53,10,15,"I widać z liczby kopic, co wzdłuż i wszerz smugów",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
54,9,15,"Widać, że okolica obfita we zboże,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
55,6,14,"Dom mieszkalny niewielki, lecz zewsząd chędogi,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
56,7,15,"I stodołę miał wielką, i przy niej trzy stogi",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
57,6,15,"Dom mieszkalny niewielki, lecz zewsząd chędogi,",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
58,5,15,"Topoli, co go bronią od wiatrów jesieni.",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
59,4,15,"Tym bielsze, że odbite od ciemnej zieleni",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
60,8,15,"Użątku, co pod strzechą zmieścić się nie może.",Szeroko nad błękitnym Niemnem rozciągnionych;,0.0
61,1,14,"Na pagórku niewielkim, we brzozowym gaju,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
62,5,14,"Topoli, co go bronią od wiatrów jesieni.","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
63,4,14,"Tym bielsze, że odbite od ciemnej zieleni","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
64,13,12,"Czarnoziemne, zapewne należne do dworu,",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
65,12,12,"Orzących wcześnie łany ogromne ugoru,",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
66,11,12,"Świecą gęsto jak gwiazdy, widać z liczby pługów",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
67,10,12,"I widać z liczby kopic, co wzdłuż i wszerz smugów",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
68,9,12,"Widać, że okolica obfita we zboże,",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
69,8,12,"Użątku, co pod strzechą zmieścić się nie może.",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
70,7,12,"I stodołę miał wielką, i przy niej trzy stogi",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
71,6,12,"Dom mieszkalny niewielki, lecz zewsząd chędogi,",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
72,5,12,"Topoli, co go bronią od wiatrów jesieni.",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
73,4,12,"Tym bielsze, że odbite od ciemnej zieleni",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
74,3,12,"Świeciły się z daleka pobielane ściany,",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
75,2,12,"Stał dwór szlachecki, z drzewa, lecz podmurowany;",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
76,0,12,"    Śród takich pól przed laty, nad brzegiem ruczaju,",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
77,17,11,"Że gościnna, i wszystkich w gościnę zaprasza.","Iść za wrócone życie podziękować Bogu),",0.0
78,16,11,"Brama na wciąż otwarta przechodniom ogłasza,","Iść za wrócone życie podziękować Bogu),",0.0
79,15,11,Że w tym domu dostatek mieszka i porządek.,"Iść za wrócone życie podziękować Bogu),",0.0
80,14,11,Uprawne dobrze na kształt ogrodowych grządek:,"Iść za wrócone życie podziękować Bogu),",0.0
81,13,11,"Czarnoziemne, zapewne należne do dworu,","Iść za wrócone życie podziękować Bogu),",0.0
82,12,11,"Orzących wcześnie łany ogromne ugoru,","Iść za wrócone życie podziękować Bogu),",0.0
83,11,11,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Iść za wrócone życie podziękować Bogu),",0.0
84,10,11,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Iść za wrócone życie podziękować Bogu),",0.0
85,15,12,Że w tym domu dostatek mieszka i porządek.,Tak nas powrócisz cudem na Ojczyzny łono.,0.0
86,17,12,"Że gościnna, i wszystkich w gościnę zaprasza.",Tak nas powrócisz cudem na Ojczyzny łono.,0.0
87,0,13,"    Śród takich pól przed laty, nad brzegiem ruczaju,",Tymczasem przenoś moją duszę utęsknioną,0.0
88,12,13,"Orzących wcześnie łany ogromne ugoru,",Tymczasem przenoś moją duszę utęsknioną,0.0
89,3,14,"Świeciły się z daleka pobielane ściany,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
90,2,14,"Stał dwór szlachecki, z drzewa, lecz podmurowany;","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
91,7,16,"I stodołę miał wielką, i przy niej trzy stogi","Do tych pól malowanych zbożem rozmaitem,",0.0
92,0,14,"    Śród takich pól przed laty, nad brzegiem ruczaju,","Do tych pagórków leśnych, do tych łąk zielonych,",0.0
93,17,13,"Że gościnna, i wszystkich w gościnę zaprasza.",Tymczasem przenoś moją duszę utęsknioną,0.0
94,16,13,"Brama na wciąż otwarta przechodniom ogłasza,",Tymczasem przenoś moją duszę utęsknioną,0.0
95,15,13,Że w tym domu dostatek mieszka i porządek.,Tymczasem przenoś moją duszę utęsknioną,0.0
96,14,13,Uprawne dobrze na kształt ogrodowych grządek:,Tymczasem przenoś moją duszę utęsknioną,0.0
97,13,13,"Czarnoziemne, zapewne należne do dworu,",Tymczasem przenoś moją duszę utęsknioną,0.0
98,11,13,"Świecą gęsto jak gwiazdy, widać z liczby pługów",Tymczasem przenoś moją duszę utęsknioną,0.0
99,1,13,"Na pagórku niewielkim, we brzozowym gaju,",Tymczasem przenoś moją duszę utęsknioną,0.0
100,10,13,"I widać z liczby kopic, co wzdłuż i wszerz smugów",Tymczasem przenoś moją duszę utęsknioną,0.0
101,9,13,"Widać, że okolica obfita we zboże,",Tymczasem przenoś moją duszę utęsknioną,0.0
102,8,13,"Użątku, co pod strzechą zmieścić się nie może.",Tymczasem przenoś moją duszę utęsknioną,0.0
103,7,13,"I stodołę miał wielką, i przy niej trzy stogi",Tymczasem przenoś moją duszę utęsknioną,0.0
104,6,13,"Dom mieszkalny niewielki, lecz zewsząd chędogi,",Tymczasem przenoś moją duszę utęsknioną,0.0
105,5,13,"Topoli, co go bronią od wiatrów jesieni.",Tymczasem przenoś moją duszę utęsknioną,0.0
106,4,13,"Tym bielsze, że odbite od ciemnej zieleni",Tymczasem przenoś moją duszę utęsknioną,0.0
107,3,13,"Świeciły się z daleka pobielane ściany,",Tymczasem przenoś moją duszę utęsknioną,0.0
108,2,13,"Stał dwór szlachecki, z drzewa, lecz podmurowany;",Tymczasem przenoś moją duszę utęsknioną,0.0
109,6,16,"Dom mieszkalny niewielki, lecz zewsząd chędogi,","Do tych pól malowanych zbożem rozmaitem,",0.0
110,15,16,Że w tym domu dostatek mieszka i porządek.,"Do tych pól malowanych zbożem rozmaitem,",0.0
111,8,16,"Użątku, co pod strzechą zmieścić się nie może.","Do tych pól malowanych zbożem rozmaitem,",0.0
112,15,19,Że w tym domu dostatek mieszka i porządek.,"Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
113,6,20,"Dom mieszkalny niewielki, lecz zewsząd chędogi,","A wszystko przepasane jakby wstęgą, miedzą",0.0
114,5,20,"Topoli, co go bronią od wiatrów jesieni.","A wszystko przepasane jakby wstęgą, miedzą",0.0
115,4,20,"Tym bielsze, że odbite od ciemnej zieleni","A wszystko przepasane jakby wstęgą, miedzą",0.0
116,3,20,"Świeciły się z daleka pobielane ściany,","A wszystko przepasane jakby wstęgą, miedzą",0.0
117,2,20,"Stał dwór szlachecki, z drzewa, lecz podmurowany;","A wszystko przepasane jakby wstęgą, miedzą",0.0
118,1,20,"Na pagórku niewielkim, we brzozowym gaju,","A wszystko przepasane jakby wstęgą, miedzą",0.0
119,0,20,"    Śród takich pól przed laty, nad brzegiem ruczaju,","A wszystko przepasane jakby wstęgą, miedzą",0.0
120,17,19,"Że gościnna, i wszystkich w gościnę zaprasza.","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
121,16,19,"Brama na wciąż otwarta przechodniom ogłasza,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
122,14,19,Uprawne dobrze na kształt ogrodowych grządek:,"Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
123,8,20,"Użątku, co pod strzechą zmieścić się nie może.","A wszystko przepasane jakby wstęgą, miedzą",0.0
124,13,19,"Czarnoziemne, zapewne należne do dworu,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
125,12,19,"Orzących wcześnie łany ogromne ugoru,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
126,11,19,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
127,10,19,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
128,9,19,"Widać, że okolica obfita we zboże,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
129,8,19,"Użątku, co pod strzechą zmieścić się nie może.","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
130,7,19,"I stodołę miał wielką, i przy niej trzy stogi","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
131,6,19,"Dom mieszkalny niewielki, lecz zewsząd chędogi,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
132,5,19,"Topoli, co go bronią od wiatrów jesieni.","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
133,7,20,"I stodołę miał wielką, i przy niej trzy stogi","A wszystko przepasane jakby wstęgą, miedzą",0.0
134,9,20,"Widać, że okolica obfita we zboże,","A wszystko przepasane jakby wstęgą, miedzą",0.0
135,9,16,"Widać, że okolica obfita we zboże,","Do tych pól malowanych zbożem rozmaitem,",0.0
136,4,21,"Tym bielsze, że odbite od ciemnej zieleni","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
137,15,21,Że w tym domu dostatek mieszka i porządek.,"Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
138,13,21,"Czarnoziemne, zapewne należne do dworu,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
139,12,21,"Orzących wcześnie łany ogromne ugoru,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
140,11,21,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
141,10,21,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
142,9,21,"Widać, że okolica obfita we zboże,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
143,8,21,"Użątku, co pod strzechą zmieścić się nie może.","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
144,6,21,"Dom mieszkalny niewielki, lecz zewsząd chędogi,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
145,5,21,"Topoli, co go bronią od wiatrów jesieni.","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
146,3,21,"Świeciły się z daleka pobielane ściany,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
147,10,20,"I widać z liczby kopic, co wzdłuż i wszerz smugów","A wszystko przepasane jakby wstęgą, miedzą",0.0
148,2,21,"Stał dwór szlachecki, z drzewa, lecz podmurowany;","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
149,0,21,"    Śród takich pól przed laty, nad brzegiem ruczaju,","Zieloną, na niej z rzadka ciche grusze siedzą.",0.0
150,17,20,"Że gościnna, i wszystkich w gościnę zaprasza.","A wszystko przepasane jakby wstęgą, miedzą",0.0
151,16,20,"Brama na wciąż otwarta przechodniom ogłasza,","A wszystko przepasane jakby wstęgą, miedzą",0.0
152,15,20,Że w tym domu dostatek mieszka i porządek.,"A wszystko przepasane jakby wstęgą, miedzą",0.0
153,14,20,Uprawne dobrze na kształt ogrodowych grządek:,"A wszystko przepasane jakby wstęgą, miedzą",0.0
154,13,20,"Czarnoziemne, zapewne należne do dworu,","A wszystko przepasane jakby wstęgą, miedzą",0.0
155,12,20,"Orzących wcześnie łany ogromne ugoru,","A wszystko przepasane jakby wstęgą, miedzą",0.0
156,11,20,"Świecą gęsto jak gwiazdy, widać z liczby pługów","A wszystko przepasane jakby wstęgą, miedzą",0.0
157,4,19,"Tym bielsze, że odbite od ciemnej zieleni","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
158,3,19,"Świeciły się z daleka pobielane ściany,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
159,2,19,"Stał dwór szlachecki, z drzewa, lecz podmurowany;","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
160,3,17,"Świeciły się z daleka pobielane ściany,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
161,12,17,"Orzących wcześnie łany ogromne ugoru,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
162,11,17,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
163,10,17,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
164,9,17,"Widać, że okolica obfita we zboże,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
165,8,17,"Użątku, co pod strzechą zmieścić się nie może.","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
166,7,17,"I stodołę miał wielką, i przy niej trzy stogi","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
167,6,17,"Dom mieszkalny niewielki, lecz zewsząd chędogi,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
168,5,17,"Topoli, co go bronią od wiatrów jesieni.","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
169,4,17,"Tym bielsze, że odbite od ciemnej zieleni","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
170,2,17,"Stał dwór szlachecki, z drzewa, lecz podmurowany;","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
171,1,19,"Na pagórku niewielkim, we brzozowym gaju,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
172,1,17,"Na pagórku niewielkim, we brzozowym gaju,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
173,0,17,"    Śród takich pól przed laty, nad brzegiem ruczaju,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
174,17,16,"Że gościnna, i wszystkich w gościnę zaprasza.","Do tych pól malowanych zbożem rozmaitem,",0.0
175,16,16,"Brama na wciąż otwarta przechodniom ogłasza,","Do tych pól malowanych zbożem rozmaitem,",0.0
176,8,11,"Użątku, co pod strzechą zmieścić się nie może.","Iść za wrócone życie podziękować Bogu),",0.0
177,14,16,Uprawne dobrze na kształt ogrodowych grządek:,"Do tych pól malowanych zbożem rozmaitem,",0.0
178,12,16,"Orzących wcześnie łany ogromne ugoru,","Do tych pól malowanych zbożem rozmaitem,",0.0
179,11,16,"Świecą gęsto jak gwiazdy, widać z liczby pługów","Do tych pól malowanych zbożem rozmaitem,",0.0
180,10,16,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Do tych pól malowanych zbożem rozmaitem,",0.0
181,13,17,"Czarnoziemne, zapewne należne do dworu,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
182,14,17,Uprawne dobrze na kształt ogrodowych grządek:,"Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
183,15,17,Że w tym domu dostatek mieszka i porządek.,"Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
184,16,17,"Brama na wciąż otwarta przechodniom ogłasza,","Wyzłacanych pszenicą, posrebrzanych żytem;",0.0
185,0,19,"    Śród takich pól przed laty, nad brzegiem ruczaju,","Gdzie panieńskim rumieńcem dzięcielina pała,",0.0
186,17,18,"Że gościnna, i wszystkich w gościnę zaprasza.","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
187,16,18,"Brama na wciąż otwarta przechodniom ogłasza,","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
188,15,18,Że w tym domu dostatek mieszka i porządek.,"Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
189,14,18,Uprawne dobrze na kształt ogrodowych grządek:,"Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
190,13,18,"Czarnoziemne, zapewne należne do dworu,","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
191,12,18,"Orzących wcześnie łany ogromne ugoru,","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
192,10,18,"I widać z liczby kopic, co wzdłuż i wszerz smugów","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
193,9,18,"Widać, że okolica obfita we zboże,","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
194,8,18,"Użątku, co pod strzechą zmieścić się nie może.","Gdzie bursztynowy świerzop, gryka jak śnieg biała,",0.0
